Date,SKU Codes,Product Name,Type,Unit MRP,MRP for Pack Size,Unit PP,PP for Pack Size,Selling Price,NTR,Supplier
04-02-2023,OILGHENES0000642,Nestle everyday ghee 1 L,DR0,600,600,555,555,,-1,Ramesh Agencies
04-02-2023,OILOILSAF0000582,SAFFOLA ACTIVE OIL POUCH 1 L ( Pack of 10 ),DR0,205,2050,167.99,1679.9,,-1,WAL-MART INDIA PVT LTD
04-02-2023,OILOILSAF0000558,SAFFOLA GOLD OIL POUCH 1 L (pack of 10),DR0,199,1990,163,1630,,-1,Narula
04-02-2023,OILGHEVER0000673,Verka Ghee 1 Kg,DR0,660,660,605,605,,-1,Shree gopalji traders
04-02-2023,PULFLOAAS0000541,Aashirvaad Whole wheat Chakki fresh 5Kg,DR2,318,318,202,202,,-1,Arjun Singh
04-02-2023,CLEDETARI0000574,Ariel Matic Powder 4Kg + 2Kg Fl,DR1,1525,1525,1270.8,1270.8,,-1,WAL-MART INDIA PVT LTD
04-02-2023,BEAHAICLI0000734,CLINIC PLUS 175ML (Pack of 2),DR1,115,230,89,178,,-1,Shree Badrinath Sales
04-02-2023,BEAORACOL0000679,"COLGATE 200G, (Pack of 3)",DR1,115,345,96.6,289.8,,-1,Shree Badrinath Sales
04-02-2023,CLEBRUGAL0000576,GALA NO DUST BROOM XL,DR1,159,159,143.65,143.65,,-1,WAL-MART INDIA PVT LTD
04-02-2023,CLEALLHAR0000514,HARPIC 200ML  (Pack of 4),DR1,40,160,33.6,134.4,,-1,Narula
04-02-2023,CLEALLHAR0000550,Harpic Original 500 Ml (Pack of 6 ),DR1,99,594,82.17,493.02,,-1,Shree Badrinath Sales
04-02-2023,BRASPRHER0000620,Hershey's Chocloate Syrup 200Gms,DR1,95,95,68,68,,-1,Shree Badrinath Sales
04-02-2023,BRACERKEL0000579,Kellogg'S Cornflakes Original 875 G,DR1,355,355,287.55,287.55,,-1,WAL-MART INDIA PVT LTD
04-02-2023,BRAREAKNO0000625,Knorr Soup Hot & Sour Veg 43 Gms,DR1,60,360,40,240,,-1,
04-02-2023,BRAREAKNO0000746,Knorr Soup Sweet Corn Veg 60/-(48),DR1,60,360,40,240,,-1,
04-02-2023,BRAREAKNO0000747,"KNORR SOUP THICK TOMATO, (Pack of 6)",DR1,60,360,40,240,,-1,Shree Badrinath Sales
04-02-2023,BEVTEALIP0000739,"Lipton Green Tea Pure & Light, (Pack of 2)",DR1,170,340,120,240,,-1,
04-02-2023,CLEALLLIZ0000580,Lizol Disinfectant 5 L,DR1,849,849,687.69,687.69,,-1,
04-02-2023,BRANOOMAG0000758,"Maggi Noodles, 56 Gms (Pack of 48)",DR1,10,480,8.91,427.68,,-1,Ramesh Agencies
04-02-2023,BEAHAIPAR0000584,PARACHUTE COCONUT OIL EJ 200 ml ( Pack of 6 ),DR1,95,570,68.4,410.4,,-1,
04-02-2023,OILOILPAR0000581,Parachute Coconut Oil Ej 600 Ml,DR1,270,270,227.1,227.1,,-1,WAL-MART INDIA PVT LTD
04-02-2023,CLEALLSAN0000563,SANI FRESH 500x2+Odonil,DR1,186,186,113,113,,-1,Shree Badrinath Sales
04-02-2023,CLEBRUSCO0000583,SCOTCH BRITE SCRUB SPONGE 2N,DR1,65,65,45.28,45.28,,-1,WAL-MART INDIA PVT LTD
04-02-2023,BEAFEMSTA0000750,"STAYFREE SECURE XL WINGS, (pack of 12)",DR1,40,480,31.2,374.4,,-1,Shree Badrinath Sales
04-02-2023,BEVTEATAT0000665,TATA GOLD 500GM (pack of 2),DR1,325,650,225,450,,-1,Shree Badrinath Sales
04-02-2023,CLEDETVIM0000687,Vim Drop Liquid (Pack of 6),DR1,20,120,17,102,,-1,Shree Badrinath Sales
04-02-2023,CLEDETVIM0000674,Vim Liquid 250Ml (Pack Of 1),DR1,55,220,46,184,,-1,
04-02-2023,CLEDETVIM0000688,"VIM LIQUID 750ML, (Pack of 2)",DR1,199,398,145,290,,-1,Shree Badrinath Sales
04-02-2023,BEVENEHOR0000716,HORLICKS CHOC 500G JAR(pack of 2),DR1,249,498,174,348,,-1,
04-02-2023,BEVTEALIP0000556,"LIPTON GREEN TEA HONEY LEMON, 24 tea bags (Pack of 2)",DR1,170,340,120,240,,-1,Shree Badrinath Sales
04-02-2023,BEVTEALIP0000627,"LIPTON GREEN TEA LEMON ZEST, 24 tea bags (Pack of 2)",DR1,170,340,120,240,,-1,Shree Badrinath Sales
04-02-2023,CLEDETSUR0000685,Surf Top Load 4+2 Kg,DR1,1375,1375,1095,1095,,-1,Shree Badrinath Sales
04-02-2023,BEAHAIDOV0000681,Dove Daily Shine 650 ML(Pack of 2),DR1,740,1480,362.6,725.2,,-1,Shree Badrinath Sales
04-02-2023,BRANOOMAG0000491,"Maggi 2-Min Masala Instant Noodles, 70 Gms (Pack of 96)",DR1,10,960,,855,,-1,Ramesh Agencies
04-02-2023,BRASPRKIS0000546,"Kissan Jam, 500G",DR1,100,1,78,78,,-1,Metro Cash & Carry India Pvt Ltd
04-02-2023,OILOILMAS0000634,Mashal Mustard Oil 1 Ltr,DR0,180,180,148,148,,-1,
06-02-2023,OILGHENES0000642,Nestle everyday ghee 1 L,DR0,600,600,555,555,,-1,Ramesh Agencies
06-02-2023,OILOILSAF0000558,SAFFOLA GOLD OIL POUCH 1 L (pack of 10),DR0,199,1990,1630,16300,,-1,Narula
06-02-2023,OILGHEVER0000673,Verka Ghee 1 Kg,DR0,660,660,603.5,603.5,,-1,Narula
06-02-2023,PEELTEMP240,Saffola 5ltr+1. MRP 1170,DR0,1170,1170,959.4,959.4,,-1,Badri
