Date,SKU Codes,Product Name,Type,Unit MRP,MRP for Pack Size,Unit PP,PP for Pack Size,Selling Price,NTR,Supplier
18-02-2023,PW0049,Aashirvaad Chakki Atta 10 Kg,DR2,464,464,405,405.00,412.49,0.018493827,Ess Enn Marketing
18-02-2023,PW004,Aashirvaad Chakki Atta 5KG,DR2,242,242,206,206.00,212,0.029126214,Ess Enn Marketing
18-02-2023,PW0254,AGARBATI ZED BLACK 3IN1 16G (Pack of 12),DR2,12,144,6.96,83.52,87.696,0.05,
18-02-2023,PW0256,AGARBATI ZED BLACK CHANDAN 15G (pack of 12),DR2,12,144,6.96,83.52,87.696,0.05,
18-02-2023,PW0257,AGARBATI ZED BLACK PINEAPLE 15G (Pack of 12),DR2,12,144,6.96,83.52,87.696,0.05,
18-02-2023,PW0255,AGARBTI ZED BLACK GULAB 15G (Pack of 12),DR2,12,144,6.96,83.52,87.696,0.05,
18-02-2023,PW0037,Ariel Matic Powder 4Kg + 2Kg Fl,DR1,1525,1525,1270.8,1270.80,1275,0.003305005,WAL-MART INDIA PVT LTD
18-02-2023,PW0194,Clinic Plus 175 ml (Pack of 2),DR1,115,230,90,180.00,183,0.016666667,Shree Badrinath Sales
18-02-2023,PW0144,"Colgate 200 gms, (Pack of 3)",DR1,145,435,96.6,289.80,319,0.100759144,Narula Trading Company/Badri
18-02-2023,PW0221,Daawat Rozana Super 90 Basmati Rice 1kg,DR2,98,98,65,65.00,67,0.030769231,Surjit Singh Arjan Singh
18-02-2023,PW0226,Dabur Amla 25Ml ,DR1,10,10,7.5,7.50,7.7,0.026666667,Narula Trading Company
18-02-2023,PW0253,Dabur honey 250gms,DR1,120,120,86.4,86.40,104,0.203703704,
18-02-2023,PW0228,Dettol Soap 10/- (Pack of 30),DR1,10,300,8.5,255.00,260.1,0.02,Narula Trading Company
18-02-2023,PW0147,"Dove Hairfall 650 Ml, (Pack of 1)",DR1,740,740,370,370.00,379,0.024324324,Shree Badrinath Sales
18-02-2023,PW0039,GALA NO DUST BROOM XL,DR1,210,210,143.65,143.65,144.57,0.006404455,WAL-MART INDIA PVT LTD
18-02-2023,PW0258,Godrej No.1 Lime (Pack of 4),DR1,40,160,33.7,134.80,140.192,0.04,Ashish Enterprises
18-02-2023,PW0259,Godrej No.1 Sandal (Pack of 4),DR1,40,160,33.7,134.80,140.192,0.04,Ashish Enterprises
18-02-2023,PW0261,Gowardhan Cow Ghee Pouch 1 L,DR0,725,725,650,650.00,656.5,0.01,Surjit Singh
18-02-2023,PW013,Harpic Original 500 Ml (Pack of 6 ),DR1,99,594,83.16,498.96,503.9496,0.01,Shree Badrinath Sales
18-02-2023,PW61,"Harpic Power Plus Toilet Cleaner,200 Ml",DR1,40,40,33.598958,33.60,34,0.011936144,Dynamic Sales
